bucket_low,bucket_high,count,percentage
0.00,0.05,0,0
0.05,0.10,0,0
0.10,0.15,0,0
0.15,0.20,0,0
0.20,0.25,0,0
0.25,0.30,0,0
0.30,0.35,0,0
0.35,0.40,0,0
0.40,0.45,0,0
0.45,0.50,0,0
0.50,0.55,0,0
0.55,0.60,0,0
0.60,0.65,0,0
0.65,0.70,0,0
0.70,0.75,0,0
0.75,0.80,0,0
0.80,0.85,0,0
0.85,0.90,0,0
0.90,0.95,0,0
0.95,1.00,0,0
1.00,1.05,0,0
1.05,1.10,0,0
1.10,1.15,0,0
1.15,1.20,0,0
1.20,1.25,0,0
1.25,1.30,0,0
1.30,1.35,0,0
1.35,1.40,0,0
1.40,1.45,0,0
1.45,1.50,0,0
1.50,1.55,0,0
1.55,1.60,0,0
1.60,1.65,0,0
1.65,1.70,0,0
1.70,1.75,0,0
1.75,1.80,0,0
1.80,1.85,0,0
1.85,1.90,0,0
1.90,1.95,0,0
1.95,2.00,0,0
2.00,2.05,0,0
2.05,2.10,0,0
2.10,2.15,0,0
2.15,2.20,0,0
2.20,2.25,0,0
2.25,2.30,0,0
2.30,2.35,0,0
2.35,2.40,0,0
2.40,2.45,0,0
2.45,2.50,0,0
2.50,2.55,0,0
2.55,2.60,0,0
2.60,2.65,0,0
2.65,2.70,0,0
2.70,2.75,0,0
2.75,2.80,0,0
2.80,2.85,0,0
2.85,2.90,0,0
2.90,2.95,0,0
2.95,3.00,0,0
3.00,3.05,0,0
3.05,3.10,0,0
3.10,3.15,0,0
3.15,3.20,0,0
3.20,3.25,0,0
3.25,3.30,0,0
3.30,3.35,0,0
